No,レア,カード名,card_number,買取金額,更新日,弾
131/100,UR,Nのゾロアークex,131/100,6500,8/31,
124/100,SAR,ボルケニオンex,124/100,4500,8/23,
125/100,SAR,ナンジャモのハラバリーex,125/100,14000,8/31,
126/100,SAR,リーリエのピッピex,126/100,25000,8/31,
127/100,SAR,Nのゾロアークex,127/100,10000,8/31,
128/100,SAR,ホップのザシアンex,128/100,7000,8/31,
129/100,SAR,ボーマンダex,129/100,9000,8/31,
236/187,UR,ピカチュウex,236/187,18000,8/28,
200/187,SAR,リーフィアex,200/187,16000,8/31,
201/187,SAR,オーガポンみどりのめんex,201/187,4500,8/23,
202/187,SAR,ブースターex,202/187,13000,8/31,
203/187,SAR,ソウブレイズex,203/187,7000,8/31,
204/187,SAR,オーガポンかまどのめんex,204/187,4500,8/23,
205/187,SAR,シャワーズex,205/187,13000,8/31,
206/187,SAR,グレイシアex,206/187,16000,8/31,
207/187,SAR,イルカマン,207/187,5000,8/31,
208/187,SAR,オーガポンいどのめんex,208/187,4500,8/23,
209/187,SAR,サンダースex,209/187,9000,8/31,
210/187,SAR,テツノカイナex,210/187,4500,8/23,
211/187,SAR,エーフィex,211/187,16000,8/31,
212/187,SAR,ニンフィアex,212/187,22000,8/31,
213/187,SAR,テツノブジンex,213/187,4500,8/23,
214/187,SAR,テツノカシラex,214/187,4500,8/23,
215/187,SAR,スナノケガワex,215/187,4500,8/23,
216/187,SAR,オーガポンいしずえのめんex,216/187,4500,8/23,
217/187,SAR,ブラッキーex,217/187,75000,8/31,
218/187,SAR,トドロクツキex,218/187,7000,8/31,
219/187,SAR,モモワロウex,219/187,4500,8/23,
220/187,SAR,サーフゴーex,220/187,4000,8/31,
221/187,SAR,ドラパルトex,221/187,4500,8/23,
222/187,SAR,タケルライコex,222/187,4500,8/23,
223/187,SAR,イーブイex,223/187,13000,8/31,
224/187,SAR,イーブイex,224/187,11000,8/31,
225/187,SAR,ガチグマアカツキex,225/187,4500,8/23,
226/187,SAR,テラパゴスex,226/187,4500,8/23,
227/187,SAR,アカマツ,227/187,4500,8/23,
228/187,SAR,アンズの秘技,228/187,4500,8/23,
229/187,SAR,カキツバタ,229/187,4500,8/23,
230/187,SAR,スグリ,230/187,4500,8/23,
231/187,SAR,タロ,231/187,4500,8/23,
232/187,SAR,ネリネ,232/187,4500,8/23,
002/187,マスボ,リーフィア（マスターボール）,002/187,7000,8/31,
021/187,マスボ,ブースター（マスターボール）,021/187,7000,8/31,
030/187,マスボ,シャワーズ（マスターボール）,030/187,7000,8/31,
040/187,マスボ,グレイシア（マスターボール）,040/187,7000,8/31,
051/187,マスボ,サンダース（マスターボール）,051/187,7000,8/31,
062/187,マスボ,エーフィー（マスターボール）,062/187,10000,8/31,
068/187,マスボ,ニンフィア（マスターボール）,068/187,12000,8/31,
092/187,マスボ,ブラッキー（マスターボール）,092/187,23000,8/31,
125/187,マスボ,イーブイ（マスターボール）,125/187,9000,8/31,
136/106,UR,ピカチュウex,136/106,28000,8/28,
130/106,SAR,アイアントex,130/106,4500,8/23,
131/106,SAR,ミロカロスex,131/106,17000,8/31,
132/106,SAR,ピカチュウex SV8,132/106,84000,8/31,
133/106,SAR,サザンドラex,133/106,8000,8/31,
134/106,SAR,シトロンの機転,134/106,4500,8/23,
135/106,SAR,ミカンのまなざし,135/106,8000,8/31,
122/106,SR,ピカチュウex,122/106,13000,8/31,
087/064,SAR,ラティアスｅｘ,087/064,32000,8/31,
088/064,SAR,ブリジュラスｅｘ,088/064,5500,8/31,
089/064,SAR,アローラナッシーｅｘ,089/064,8000,8/31,
090/064,SAR,カキツバタ,090/064,4500,8/23,
091/064,SAR,ルチアのアピール,091/064,30000,8/31,
086/064,SR,ルチアのアピール,086/064,16000,8/30,
127/102,SAR,カミツオロチex,127/102,4000,8/31,
128/102,SAR,デンチュラex,128/102,4500,8/23,
129/102,SAR,バウッツェルex,129/102,4500,8/23,
130/102,SAR,テラパゴスex SV7,130/102,7000,8/31,
131/102,SAR,タロ SV7,131/102,18000,8/31,
132/102,SAR,ブライア,132/102,5500,8/31,
124/102,SR,タロ,124/102,6500,8/31,
087/064,SAR,イイネイヌex,087/064,4500,8/23,
088/064,SAR,マシマシラex,088/064,4500,8/23,
089/064,SAR,キチキギスex,089/064,6000,8/31,
090/064,SAR,モモワロウex,090/064,4500,8/23,
091/064,SAR,カシオペア SV6a,091/064,6500,8/31,
125/101,SAR,オーガポン みどりのめんex,125/101,5500,8/31,
126/101,SAR,オーガポン かまどのめんex,126/101,4500,8/23,
127/101,SAR,オーガポン いどのめんex,127/101,4500,8/23,
128/101,SAR,オーガポン いしずえのめんex,128/101,4500,8/23,
129/101,SAR,スグリ SV6,129/101,16000,8/31,
130/101,SAR,ゼイユ,130/101,50000,8/31,
123/101,SR,ゼイユ,123/101,6500,8/31,
089/066,SAR,ヤバソチャex,089/066,4500,8/23,
090/066,SAR,ゲッコウガex,090/066,44000,8/31,
091/066,SAR,ガチグマ（アカツキ）ex,091/066,6500,8/31,
092/066,SAR,サザレ,092/066,30000,8/31,
093/066,SAR,スイレンのお世話,093/066,8000,8/31,
087/066,SR,サザレ,087/066,7000,8/20,
088/066,SR,スイレンのお世話,088/066,7000,8/20,
078/066,AR,イーブイ,078/066,10000,8/20,
093/071,SAR,テツノイサハex,093/071,6000,8/20,
094/071,SAR,テツノカシラex,094/071,6000,8/20,
095/071,SAR,テツノイワオex,095/071,4500,8/23,
096/071,SAR,セイジ,096/071,4500,8/23,
097/071,SAR,ベルのまごころ,097/071,20000,8/20,
092/071,SR,ベルのまごころ,092/071,8000,8/20,
093/071,SAR,ウガツホムラex,093/071,6500,8/20,
094/071,SAR,ウネルミナモex,094/071,7000,8/20,
095/071,SAR,タケルライコex SV5K,095/071,8000,8/20,
096/071,SAR,ビワ,096/071,4500,8/23,
097/071,SAR,マツバの確信,097/071,18000,9/1,
088/071,SR,ゲンガーex,088/071,12000,8/20,
080/071,AR,ゴース,080/071,10000,8/20,
347/190,SAR,ミュウex SV4a,347/190,120000,8/20,
348/190,SAR,サーナイトex SV4a,348/190,31000,8/20,
349/190,SAR,リザードンex（悪テラスタル） SV4a,349/190,64000,8/20,
350/190,SAR,ナンジャモ SV4a,350/190,23000,8/20,
351/190,SAR,ネモ,351/190,6000,8/20,
352/190,SAR,ネルケ,352/190,8000,8/20,
353/190,SAR,ペパー,353/190,4500,8/23,
354/190,SAR,ボタン SV4a,354/190,10000,8/20,
327/190,SSR,ミュウex,327/190,9000,8/20,
331/190,SSR,リザードンex【悪テラスタル】,331/190,9000,8/20,
341/190,AR,ミミッキュ,341/190,8500,8/20,
236/190,S,ピカチュウ,236/190,24000,8/20,
088/066,SAR,グソクムシャex,088/066,6000,8/20,
089/066,SAR,スナノケガワex,089/066,4500,8/23,
090/066,SAR,トドロクツキex,090/066,10000,8/20,
091/066,SAR,オーリム博士の気迫,091/066,6000,8/20,
092/066,SAR,メロコ,092/066,7500,8/20,
088/066,SAR,テツノカイナex,088/066,6500,8/20,
089/066,SAR,テツノブジンex,089/066,6500,8/20,
090/066,SAR,チルタリスex,090/066,11000,8/20,
091/066,SAR,フトゥー博士のシナリオ,091/066,4500,8/23,
092/066,SAR,リップ,092/066,4500,8/23,
090/062,UR,ガブリアスex,090/062,7000,8/28,
085/062,SAR,ガブリアスex,085/062,11000,8/20,
086/062,SAR,カプ・コケコex,086/062,4500,8/23,
087/062,SAR,サーフゴーex,087/062,19000,8/20,
088/062,SAR,チリ,088/062,7000,8/20,
089/062,SAR,パラソルおねえさん,089/062,22000,8/20,
084/062,SR,パラソルおねえさん,084/062,4500,8/23,
139/108,UR,リザードンex（悪テラスタル）,139/108,15000,8/28,
133/108,SAR,コオリッポex,133/108,4500,8/23,
134/108,SAR,リザードンex（悪テラスタル）SV3a,134/108,68000,8/20,
135/108,SAR,ブロロロームex,135/108,4500,8/23,
136/108,SAR,ピジョットex,136/108,4500,8/23,
137/108,SAR,オモダカ,137/108,4500,8/23,
138/108,SAR,ポピー,138/108,4500,8/23,
208/165,UR,ミュウex,208/165,17000,8/28,
200/165,SAR,フシギバナex,200/165,28000,8/20,
201/165,SAR,リザードンex SV2a,201/165,80000,8/20,
202/165,SAR,カメックスex,202/165,26000,8/20,
203/165,SAR,フーディンex,203/165,16000,8/20,
204/165,SAR,サンダーex,204/165,24000,8/20,
205/165,SAR,ミュウexSV2a,205/165,70000,8/25,
206/165,SAR,エリカの招待,206/165,24000,8/20,
184/165,SR,フシギバナex,184/165,4500,8/23,
185/165,SR,リザードンex,185/165,9000,8/25,
186/165,SR,カメックスex,186/165,5000,8/25,
195/165,SR,ミュウex,195/165,6000,8/25,
196/165,SR,エリカの招待,196/165,17000,8/25,
166/165,AR,フシギダネ,166/165,7000,8/25,
167/165,AR,フシギソウ,167/165,5500,8/25,
168/165,AR,ヒトカゲ,168/165,10000,8/25,
169/165,AR,リザード,169/165,8000,8/25,
170/165,AR,ゼニガメ,170/165,11000,8/25,
171/165,AR,カメール,171/165,10000,8/25,
173/165,AR,ピカチュウ,173/165,11000,8/25,
183/165,AR,ミュウツー,183/165,12000,8/25,
175/165,AR,コダック,175/165,12000,8/25,
181/165,AR,カビゴン,181/165,7000,8/30,
001/165,マスボ,フシギダネ,001/165,14000,8/25,
004/165,マスボ,ヒトカゲ,004/165,17000,8/25,
007/165,マスボ,ゼニガメ,007/165,14000,8/25,
025/165,マスボ,ピカチュウ,025/165,95000,8/25,
052/165,マスボ,ニャース,052/165,9000,8/25,
054/165,マスボ,コダック,054/165,30000,8/25,
079/165,マスボ,ヤドン,079/165,20000,8/25,
092/165,マスボ,ゴース,092/165,13000,8/25,
093/165,マスボ,ゴースト,093/165,18000,8/25,
094/165,マスボ,ゲンガー,094/165,170000,8/25,
129/165,マスボ,コイキング,129/165,22000,8/25,
130/165,マスボ,ギャラドス,130/165,13000,8/25,
132/165,マスボ,メタモン,132/165,14000,8/25,
133/165,マスボ,イーブイ,133/165,14000,8/25,
134/165,マスボ,シャワーズ,134/165,10000,8/25,
135/165,マスボ,サンダース,135/165,9000,8/25,
136/165,マスボ,ブースター,136/165,9000,8/25,
143/165,マスボ,カビゴン,143/165,14000,8/25,
144/165,マスボ,フリーザー,144/165,8000,8/25,
146/165,マスボ,ファイヤー,146/165,7500,8/25,
147/165,マスボ,ミニリュウ,147/165,9000,8/25,
148/165,マスボ,ハクリュー,148/165,9500,8/25,
149/165,マスボ,カイリュー,149/165,20000,8/25,
150/165,マスボ,ミュウツー,150/165,26000,8/25,
092/071,SAR,イーユイex,092/071,9000,8/20,
093/071,SAR,デカヌチャンex,093/071,10000,8/20,
094/071,SAR,ディンルーex,094/071,4500,8/23,
095/071,SAR,サワロ,095/071,4500,8/23,
096/071,SAR,ナンジャモ SV2D,096/071,70000,8/20,
091/071,SR,ナンジャモ,091/071,14000,8/20,
092/071,SAR,チオンジェンex,092/071,4500,8/23,
093/071,SAR,パオジアンex,093/071,6500,8/20,
094/071,SAR,イキリンコex,094/071,4500,8/23,
095/071,SAR,グルーシャ,095/071,15000,8/20,
096/071,SAR,ピーニャ,096/071,4500,8/23,
096/073,SAR,マスカーニャex,096/073,13000,8/20,
097/073,SAR,ラウドボーンex,097/073,7000,8/20,
098/073,SAR,ウェーニバルex,098/073,8000,8/20,
099/073,SAR,キハダ,099/073,14000,8/20,
100/073,SAR,ボスの指令(ゲーチス),100/073,4500,8/23,
080/073,AR,コイキング,080/073,30000,8/28,
101/078,SAR,ワナイダーex,101/078,4500,8/23,
102/078,SAR,ミライドンex,102/078,11000,8/20,
103/078,SAR,テツノワダチex,103/078,4500,8/23,
104/078,SAR,ペパー,104/078,4500,8/23,
105/078,SAR,ミモザ,105/078,27000,8/31,
100/078,SR,ミモザ,100/078,12000,8/20,
101/078,SAR,サーナイトex SV1S,101/078,35000,8/31,
102/078,SAR,イダイナキバex,102/078,4500,8/23,
103/078,SAR,コライドンex,103/078,10000,8/20,
104/078,SAR,ジニア,104/078,4500,8/23,
105/078,SAR,ボタン SV1S,105/078,4500,8/23,
100/078,SR,ボタン,100/078,4500,8/23,
001/SV-P,P,ピカチュウ,001/SV-P,9000,8/30,
048/SV-P,P,ミライドン,048/SV-P,20000,8/31,
049/SV-P,P,コライドン,049/SV-P,18000,8/31,
062/SV-P,P,イーブイ,062/SV-P,30000,8/31,
063/SV-P,P,シャワーズ,063/SV-P,23000,8/31,
064/SV-P,P,サンダース,064/SV-P,22000,8/31,
065/SV-P,P,ブースター,065/SV-P,22000,8/31,
066/SV-P,P,エーフィ,066/SV-P,22000,8/31,
067/SV-P,P,ブラッキー,067/SV-P,35000,8/31,
068/SV-P,P,リーフィア,068/SV-P,22000,8/31,
069/SV-P,P,グレイシア,069/SV-P,22000,8/31,
070/SV-P,P,ニンフィア,070/SV-P,22000,8/31,
098/SV-P,P,名探偵ピカチュウ,098/SV-P,42000,8/31,
192/SV-P,P,ニャース,192/SV-P,16000,8/31,
218/SV-P,P,ピカチュウ,218/SV-P,15000,8/31,
260/SV-P,P,トウホクのピカチュウ,260/SV-P,26000,8/27,
261/SV-P,P,ヒロシマのピカチュウ,261/SV-P,30000,8/27,
291/SV-P,P,ピカチュウ,291/SV-P,5500,8/31,
288/SV-P,P,ビクティニ(争奪戦プロモ),288/SV-P,240000,8/31,
289/SV-P,P,フクオカのピカチュウ,289/SV-P,22000,8/27,
003/032,P,リザードン(クラシック版),003/032,38000,8/31,
003/032,P,フシギバナ(クラシック版),003/032,9000,8/31,
003/032,P,カメックス(クラシック版),003/032,12000,8/31,
008/032,P,ピカチュウ(クラシック版),008/032,17000,8/25,
050/049,P,フシギダネ,050/049,18000,8/31,
051/049,P,ヒトカゲ,051/049,36000,8/31,
052/049,P,ゼニガメ,052/049,18000,8/31,
001/030,P,ピカチュウex,001/030,74000,8/31,
259/172,UR,オリジンパルキアVSTAR,259/172,18000,8/28,
260/172,UR,オリジンディアルガVSTAR,260/172,21000,8/28,
261/172,UR,ギラティナVSTAR,261/172,34000,8/28,
262/172,UR,アルセウスVSTAR,262/172,23000,8/28,
183/172,AR,ミュウ,183/172,13000,8/24,
201/172,AR,リオル,201/172,4500,8/24,
202/172,AR,チルット,202/172,6500,8/24,
203/172,AR,ヨマワル,203/172,5000,8/24,
204/172,AR,ビッパ,204/172,6000,8/24,
205/172,AR,ピカチュウ,205/172,72000,8/10,
206/172,AR,ナエトル,206/172,5000,8/24,
207/172,AR,パラス,207/172,4000,8/10,
208/172,AR,ポチエナ,208/172,5000,8/24,
209/172,AR,メリープ,209/172,4000,8/10,
210/172,SAR,リーフィアVSTAR,210/172,11000,8/24,
211/172,SAR,リザードンV,211/172,15000,8/24,
212/172,SAR,リザードンVSTAR,212/172,23000,8/24,
213/172,SAR,エンテイV,213/172,11000,8/24,
214/172,SAR,バオッキーVSTAR,214/172,15000,8/24,
215/172,SAR,スイクンV,215/172,12000,8/24,
216/172,SAR,ネオラントV,216/172,5000,8/10,
217/172,SAR,グレイシアVSTAR,217/172,11000,8/10,
218/172,SAR,ライコウV,218/172,10000,8/24,
219/172,SAR,ゼラオラVMAX,219/172,5500,8/24,
220/172,SAR,ゼラオラVSTAR,220/172,6500,8/10,
221/172,SAR,ミュウツーVSTAR,221/172,22000,8/27,
222/172,SAR,デオキシスVMAX,222/172,10000,8/24,
223/172,SAR,デオキシスVSTAR,223/172,10000,8/10,
224/172,SAR,ブリムオンVMAX,224/172,3000,8/24,
225/172,SAR,ザシアンV,225/172,6000,8/10,
226/172,SAR,ルカリオVSTAR,226/172,11000,8/24,
228/172,SAR,ダークライVSTAR,228/172,11000,8/24,
229/172,SAR,ヒスイダイケンキV,229/172,5000,8/24,
230/172,SAR,ヒスイダイケンキVSTAR,230/172,5000,8/10,
232/172,SAR,ザマゼンタV,232/172,5000,8/10,
233/172,SAR,レジギガスVSTAR,233/172,6000,8/24,
234/172,SAR,ヒスイゾロアークVSTAR,234/172,10000,8/24,
236/172,SAR,カイ,236/172,15000,8/24,
239/172,SAR,シロナの覇気,239/172,17000,8/24,
246/172,SR,カミツレのきらめき,246/172,10000,8/24,
247/172,SR,シンオウの仲間たち,247/172,7000,8/24,
249/172,SR,ヒスイの仲間たち,249/172,11000,8/28,
123/098,UR,ルギアVSTAR,123/098,10000,8/28,
118/098,HR,ルギアVSTAR,118/098,15000,8/10,
103/098,SR,アンノーンV(SA),103/098,11000,8/10,
109/098,SR,ルギアV,109/098,7000,8/25,
108/098,SR,レジドラゴV（SA）,108/098,6000,8/10,
110/098,SR,ルギアV(SA),110/098,150000,8/25,
113/098,SR,スズナ,113/098,11000,8/25,
089/068,HR,セレナ,089/068,11000,8/25,
081/068,SR,セレナ,081/068,18000,8/25,
084/068,CSR,ジャローダV(SA),084/068,10000,8/25,
125/100,UR,ギラティナVSTAR,125/100,10000,8/28,
120/100,HR,ギラティナVSTAR,120/100,12000,8/25,
122/100,HR,おじょうさま,122/100,5000,8/10,
104/100,SR,ロトムV(SA),104/100,6000,8/10,
106/100,SR,プテラV(SA),106/100,22000,8/28,
110/100,SR,ギラティナV,110/100,10000,8/10,
111/100,SR,ギラティナV(SA),111/100,250000,8/30,
091/071,UR,ミュウツーVSTAR,091/071,10000,8/28,
084/071,HR,ミュウツーVSTAR,084/071,13000,8/25,
086/071,HR,カイリューVSTAR,086/071,8000,8/10,
073/071,SR,ミュウツーV,073/071,10000,8/25,
074/071,SR,ミュウツーV(SA),074/071,31000,8/25,
076/071,SR,ローブシンV(SA),076/071,5000,8/10,
078/071,SR,カイリューV,078/071,6500,8/10,
004/071,K,かがやくフシギバナ,004/071,5000,8/25,
011/071,K,かがやくリザードン,011/071,10000,8/25,
018/071,K,かがやくカメックス,018/071,5000,8/25,
055/071,K,かがやくイーブイ,055/071,8000,8/25,
097/071,UR,ヒスイゾロアークVSTAR,097/071,6000,8/28,
088/071,CSR,ラブトロスV(SA),088/071,7000,8/25,
089/071,CSR,エルレイドV(SA),089/071,6500,8/10,
073/071,CHR,ピカチュウ,073/071,18000,8/10,
074/071,CHR,ゲンガー,074/071,12000,8/10,
077/071,CHR,カビゴン,077/071,6500,8/10,
086/067,UR,オリジンディアルガVSTAR,086/067,6000,8/28,
082/067,HR,オリジンディアルガVSTAR,082/067,5000,8/10,
069/067,SR,ヒスイドレディアV（SA）,069/067,6000,8/10,
073/067,SR,カイリキーV(SA),073/067,13000,8/25,
075/067,SR,オリジンディアルガV(SA),075/067,20000,8/25,
078/067,SR,ナタネの活気,078/067,11000,8/25,
086/067,UR,オリジンパルキアVSTAR,086/067,6000,8/28,
081/067,HR,オリジンパルキアVSTAR,081/067,7000,8/25,
083/067,HR,カイ,083/067,6000,8/10,
069/067,SR,スピアーV（SA）,069/067,11000,8/25,
071/067,SR,オリジンパルキアV(SA),071/067,21000,8/25,
075/067,SR,ヒスイオオニューラV(SA),075/067,6500,8/10,
077/067,SR,カイ,077/067,10000,8/10,
083/067,CSR,スターミーV(SA),083/067,32000,8/25,
084/067,CSR,ガブリアスV(SA),084/067,19000,8/25,
125/100,UR,アルセウスVSTAR,125/100,6000,8/28,
118/100,HR,リザードンVSTAR,118/100,22000,8/25,
120/100,HR,アルセウスVSTAR,120/100,14000,8/25,
102/100,SR,リザードンV,102/100,10000,8/25,
103/100,SR,リザードンV(SA),103/100,50000,8/25,
105/100,SR,ネオラントV(SA),105/100,6000,8/25,
109/100,SR,ドンカラスV(SA),109/100,7000,8/25,
112/100,SR,アルセウスＶ(SA),112/100,18000,8/25,
114/100,SR,シロナの覇気,114/100,14000,8/25,
420/414,UR,ガラルフリーザーV,420/414,7000,8/28,
421/414,UR,ガラルサンダーV,421/414,6500,8/28,
422/414,UR,ガラルファイヤーV,422/414,7000,8/28,
415/414,SR,ピカチュウV,415/414,31000,8/25,
419/414,SR,マリィのプライド,419/414,23000,8/10,
278/184,UR,はくばバドレックスVMAX,278/184,8000,8/28,
279/184,UR,ピカチュウVMAX,279/184,30000,8/28,
280/184,UR,ミュウVMAX,280/184,19000,8/28,
281/184,UR,こくばバドレックスVMAX,281/184,6000,8/28,
283/184,UR,れんげきウーラオスVMAX,283/184,7000,8/28,
284/184,UR,レックウザVMAX,284/184,17000,8/28,
285/184,UR,ジュラルドンVMAX,285/184,6000,8/28,
213/184,CSR,コロトックV,213/184,5000,8/10,
214/184,CSR,イオルブV,214/184,5000,8/25,
215/184,CSR,イオルブVMAX,215/184,5000,8/10,
216/184,CSR,バシャーモV,216/184,6500,8/10,
217/184,CSR,バシャーモVMAX,217/184,6500,8/10,
218/184,CSR,マルヤクデV,218/184,4000,8/10,
219/184,CSR,マルヤクデVMAX,219/184,4000,8/10,
220/184,CSR,はくばバドレックスV,220/184,5000,8/10,
221/184,CSR,はくばバドレックスVMAX,221/184,5000,8/10,
222/184,CSR,ピカチュウ,222/184,31000,8/25,
223/184,CSR,ピカチュウVMAX,223/184,31000,8/25,
224/184,CSR,ゼラオラV,224/184,6000,8/25,
225/184,CSR,パルスワンV,225/184,4000,8/10,
230/184,CSR,ガラルフリーザーV,230/184,8000,8/25,
231/184,CSR,ニンフィアV,231/184,13000,8/25,
232/184,CSR,ニンフィアVMAX,232/184,20000,8/25,
233/184,CSR,ミミッキュV,233/184,21000,8/25,
234/184,CSR,ミミッキュVMAX,234/184,23000,8/25,
235/184,CSR,こくばバドレックスV,235/184,4000,8/10,
