No,レア,カード名,card_number,買取金額,更新日,弾,ラッシュ販売価格,ラッシュ在庫状況,画像URL,期待利益,鑑定費,手取り利益,利益率,月換算利益率
113/080,SAR,メガジガルデex,113/080,14000,6/16,,4780,在庫あり (120枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d335f30325f332e6a7067003136300000660023666666666666.jpg,9220,3000,6220,79.9,40.0
114/080,SAR,ニャースex,114/080,26000,6/18,,14800,在庫あり (36枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d335f30325f342e6a7067003136300000660023666666666666.jpg,11200,3000,8200,46.1,23.0
115/080,SAR,メイのはげまし,115/080,45000,6/16,,17800,在庫あり (79枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d335f30325f352e6a7067003136300000660023666666666666.jpg,27200,3000,24200,116.3,58.2
116/080,SAR,ユカリ,116/080,11000,6/16,,1780,在庫あり (102枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d335f30325f322e6a7067003136300000660023666666666666.jpg,9220,3000,6220,130.1,65.1
766/742,MUR,メガリザードンYex,766/742,2400000,6/16,,1580000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303235313231385f3434653536632e6a70670031363000534f4c44204f555400660023666666666666.jpg,820000,10000,810000,50.9,
761/742,SAR,メガメガニウムex,761/742,48000,6/16,,34800,在庫あり (13枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d4341525f31392e6a7067003136300000660023666666666666.jpg,13200,3000,10200,27.0,13.5
762/742,SAR,メガエンブオーex,762/742,30000,6/16,,20800,在庫あり (30枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d4341525f32302e6a7067003136300000660023666666666666.jpg,9200,3000,6200,26.1,13.0
763/742,SAR,メガオーダイルex,763/742,60000,6/16,,35800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d4341525f32312e6a7067003136300000660023666666666666.jpg,24200,3000,21200,54.6,27.3
765/742,SAR,リーリエのピッピex,765/742,150000,6/16,,108000,在庫あり (24枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d4341525f32332e6a7067003136300000660023666666666666.jpg,42000,10000,32000,27.1,
760/742,SR,ボスの指令(カラスバ),760/742,24000,6/16,,16800,在庫あり (62枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d4341525f31382e6a7067003136300000660023666666666666.jpg,7200,3000,4200,21.2,10.6
748/742,AR,マリル,748/742,18000,6/18,,7480,在庫あり (52枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d4341525f362e6a7067003136300000660023666666666666.jpg,10520,3000,7520,71.8,35.9
755/742,AR,イーブイ,755/742,130000,6/16,,74800,在庫あり (36枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d4341525f31332e6a7067003136300000660023666666666666.jpg,55200,10000,45200,53.3,
085/742,-,メガリザードンYex (ミラー),085/742,30000,6/16,,10800,在庫あり (52枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f505f4d435f3130302e4a5047003136300000660023666666666666.jpg,19200,3000,16200,117.4,58.7
250/193,MUR,メガカイリューex,250/193,80000,6/18,,52800,在庫あり (31枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d3261736172312e6a7067003136300000660023666666666666.jpg,27200,3000,24200,43.4,21.7
234/193,SAR,ピカチュウex,234/193,75000,6/16,,54800,在庫あり (77枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d326173617231372e6a7067003136300000660023666666666666.jpg,20200,3000,17200,29.8,14.9
237/193,SAR,ロケット団のミュウツーex,237/193,40000,6/16,,25800,在庫あり (116枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d326173617231342e6a7067003136300000660023666666666666.jpg,14200,3000,11200,38.9,19.4
242/193,SAR,Nのゾロアークex,242/193,15000,6/16,,8480,在庫あり (96枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d3261736172392e6a7067003136300000660023666666666666.jpg,6520,3000,3520,30.7,15.3
245/193,SAR,ダイゴのメタグロスex,245/193,11000,6/18,,4480,在庫あり (217枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d3261736172362e6a7067003136300000660023666666666666.jpg,6520,3000,3520,47.1,23.5
247/193,SAR,アイリスの闘志,247/193,12000,6/16,,2780,在庫あり (176枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d3261736172342e6a7067003136300000660023666666666666.jpg,9220,3000,6220,107.6,53.8
248/193,SAR,カナリィ,248/193,13000,6/16,,4780,在庫あり (147枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d3261736172332e6a7067003136300000660023666666666666.jpg,8220,3000,5220,67.1,33.5
223/193,MA,メガリザードンXex,223/193,21000,6/18,,9480,在庫あり (464枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7332614d4131302e6a7067003136300000660023666666666666.jpg,11520,3000,8520,68.3,34.1
228/193,MA,メガルカリオex,228/193,8500,6/16,,1880,在庫あり (313枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7332614d41352e6a7067003136300000660023666666666666.jpg,6620,3000,3620,74.2,37.1
230/193,MA,メガゲンガーex,230/193,12000,6/16,,4980,在庫あり (348枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7332614d41332e6a7067003136300000660023666666666666.jpg,7020,3000,4020,50.4,25.2
232/193,MA,メガカイリューex,232/193,9000,6/16,,2880,在庫あり (187枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7332614d41312e6a7067003136300000660023666666666666.jpg,6120,3000,3120,53.1,26.5
199/193,AR,コダック,199/193,14000,6/16,,3680,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d326141525f31352e6a7067003136300000660023666666666666.jpg,10320,3000,7320,109.6,54.8
116/080,MUR,メガリザードンXex,116/080,420000,6/16,,288000,在庫あり (19枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d32524152455f33362e6a7067003136300000660023666666666666.jpg,132000,10000,122000,40.9,
111/080,SAR,オドリドリex,111/080,12000,6/16,,6980,在庫あり (101枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d32524152455f33312e6a7067003136300000660023666666666666.jpg,5020,3000,2020,20.2,10.1
115/080,SAR,ヒカリ,115/080,11000,6/16,,3980,在庫あり (58枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d32524152455f33352e6a7067003136300000660023666666666666.jpg,7020,3000,4020,57.6,28.8
094/080,SR,メガリザードンXex,094/080,15000,6/16,,7780,在庫あり (274枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d32524152455f31342e6a7067003136300000660023666666666666.jpg,7220,3000,4220,39.1,19.6
092/063,MUR,メガルカリオex,092/063,130000,6/16,,67800,在庫あり (15枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d31534d314c5f32392e6a7067003136300000660023666666666666.jpg,62200,10000,52200,67.1,
091/063,SAR,リーリエの決心,091/063,65000,6/16,,35800,在庫あり (75枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530325f31302e6a7067003136300000660023666666666666.jpg,29200,3000,26200,67.5,33.8
086/063,SR,リーリエの決心,086/063,18000,6/16,,9480,在庫あり (132枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d31534d314c5f32332e6a7067003136300000660023666666666666.jpg,8520,3000,5520,44.2,22.1
092/063,MUR,メガサーナイトex,092/063,120000,6/16,,64800,在庫あり (26枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d31534d314c5f35382e6a7067003136300000660023666666666666.jpg,55200,10000,45200,60.4,
090/063,SAR,アセロラのいたずら,090/063,16000,6/16,,7480,在庫あり (239枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530325f392e6a7067003136300000660023666666666666.jpg,8520,3000,5520,52.7,26.3
084/063,SR,アセロラのいたずら,084/063,10000,6/16,,2180,在庫あり (298枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d31534d314c5f35302e6a7067003136300000660023666666666666.jpg,7820,3000,4820,93.1,46.5
022/021,P,ゴースト,022/021,8000,6/16,,2480,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43524d42475f32322e6a7067003136300000660023666666666666.jpg,5520,3000,2520,46.0,23.0
020/M-P,P,ピカチュウ【マクドナルド】,020/M-P,12000,6/18,,4780,在庫あり (7枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f4d2d505f3031312e6a7067003136300000660023666666666666.jpg,7220,3000,4220,54.2,27.1
174/086,BWR,ゼクロムex,174/086,100000,6/12,,79800,在庫あり (13枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356313142415253525f312e6a7067003136300000660023666666666666.jpg,20200,3000,17200,20.8,10.4
173/086,SAR,Nの筋書き,173/086,14000,6/12,,7280,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530315f31372e6a7067003136300000660023666666666666.jpg,6720,3000,3720,36.2,18.1
109/086,AR,ガマゲロゲ,109/086,18000,6/12,,9980,在庫あり (13枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356313142415253525f36372e6a7067003136300000660023666666666666.jpg,8020,3000,5020,38.7,19.3
173/086,SAR,トウコ,173/086,22000,6/12,,9480,在庫あり (15枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7376313157737273617262777241525f322e6a7067003136300000660023666666666666.jpg,12520,3000,9520,76.3,38.1
130/098,UR,ロケット団のミュウツーex,130/098,28000,6/12,,13800,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7376313061725f332e6a7067003136300000660023666666666666.jpg,14200,3000,11200,66.7,33.3
128/098,SAR,ロケット団のアテナ,128/098,14000,6/12,,2980,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7376313061725f352e6a7067003136300000660023666666666666.jpg,11020,3000,8020,134.1,67.1
129/098,SAR,ロケット団のサカキ,129/098,14000,6/12,,3780,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7376313061725f342e6a7067003136300000660023666666666666.jpg,10220,3000,7220,106.5,53.2
091/063,UR,シロナのガブリアスex,091/063,14000,6/12,,7980,在庫あり (12枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535639615f322e6a7067003136300000660023666666666666.jpg,6020,3000,3020,27.5,13.8
089/063,SAR,ヒビキの冒険,089/063,16000,6/12,,7980,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535639615f342e6a7067003136300000660023666666666666.jpg,8020,3000,5020,45.7,22.9
071/063,AR,カスミのコダック,071/063,15000,6/12,,5480,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535639615f32322e6a7067003136300000660023666666666666.jpg,9520,3000,6520,76.9,38.4
130/100,UR,ナンジャモのハラバリーex,130/100,10000,6/12,,3980,在庫あり (39枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535639415253525f33302e6a7067003136300000660023666666666666.jpg,6020,3000,3020,43.3,21.6
236/187,UR,ピカチュウex,236/187,30000,6/12,,14800,在庫あり (55枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356386153415255525f34392e6a7067003136300000660023666666666666.jpg,15200,3000,12200,68.5,34.3
202/187,SAR,ブースターex,202/187,14000,6/12,,8480,在庫あり (45枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356386153415255525f31352e6a7067003136300000660023666666666666.jpg,5520,3000,2520,22.0,11.0
203/187,SAR,ソウブレイズex,203/187,9000,6/12,,2880,在庫あり (39枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356386153415255525f31362e6a7067003136300000660023666666666666.jpg,6120,3000,3120,53.1,26.5
205/187,SAR,シャワーズex,205/187,15000,6/12,,8980,在庫あり (50枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356386153415255525f31382e6a7067003136300000660023666666666666.jpg,6020,3000,3020,25.2,12.6
206/187,SAR,グレイシアex,206/187,16000,6/12,,9980,在庫あり (48枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530325f31312e6a7067003136300000660023666666666666.jpg,6020,3000,3020,23.3,11.6
211/187,SAR,エーフィex,211/187,20000,6/12,,10800,在庫あり (21枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356386153415255525f32342e6a7067003136300000660023666666666666.jpg,9200,3000,6200,44.9,22.5
212/187,SAR,ニンフィアex,212/187,30000,6/12,,21800,在庫あり (14枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356386153415255525f32352e6a7067003136300000660023666666666666.jpg,8200,3000,5200,21.0,10.5
218/187,SAR,トドロクツキex,218/187,10000,6/12,,4780,在庫あり (51枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356386153415255525f33312e6a7067003136300000660023666666666666.jpg,5220,3000,2220,28.5,14.3
223/187,SAR,イーブイex,223/187,14000,6/12,,7480,在庫あり (43枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530325f31322e6a7067003136300000660023666666666666.jpg,6520,3000,3520,33.6,16.8
224/187,SAR,イーブイex,224/187,13000,6/12,,7280,在庫あり (79枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356386153415255525f33372e6a7067003136300000660023666666666666.jpg,5720,3000,2720,26.5,13.2
002/187,マスボ,リーフィア（マスターボール）,002/187,11000,6/12,,3280,在庫あり (26枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535638615f6d6173746572325f342e6a7067003136300000660023666666666666.jpg,7720,3000,4720,75.2,37.6
021/187,マスボ,ブースター（マスターボール）,021/187,11000,6/12,,2780,在庫あり (33枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535638615f6d6173746572325f32382e6a7067003136300000660023666666666666.jpg,8220,3000,5220,90.3,45.2
030/187,マスボ,シャワーズ（マスターボール）,030/187,11000,6/12,,3780,在庫あり (28枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535638615f6d6173746572315f33352e6a7067003136300000660023666666666666.jpg,7220,3000,4220,62.2,31.1
040/187,マスボ,グレイシア（マスターボール）,040/187,11000,6/12,,3280,在庫あり (12枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535638615f6d6173746572315f32342e6a7067003136300000660023666666666666.jpg,7720,3000,4720,75.2,37.6
051/187,マスボ,サンダース（マスターボール）,051/187,11000,6/12,,3080,在庫あり (18枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535638615f6d6173746572315f33312e6a7067003136300000660023666666666666.jpg,7920,3000,4920,80.9,40.5
062/187,マスボ,エーフィー（マスターボール）,062/187,14000,6/12,,3980,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535638615f6d6173746572315f31332e6a7067003136300000660023666666666666.jpg,10020,3000,7020,100.6,50.3
068/187,マスボ,ニンフィア（マスターボール）,068/187,14000,6/12,,5280,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535638615f6d6173746572325f33392e6a7067003136300000660023666666666666.jpg,8720,3000,5720,69.1,34.5
092/187,マスボ,ブラッキー（マスターボール）,092/187,35000,6/12,,22800,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303235303631345f3636656139382e6a7067003136300000660023666666666666.jpg,12200,3000,9200,35.7,17.8
125/187,マスボ,イーブイ（マスターボール）,125/187,15000,6/12,,4480,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535638615f6d6173746572315f362e6a7067003136300000660023666666666666.jpg,10520,3000,7520,100.5,50.3
136/106,UR,ピカチュウex,136/106,48000,6/12,,32800,在庫あり (14枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356385f33302e6a7067003136300000660023666666666666.jpg,15200,3000,12200,34.1,17.0
135/106,SAR,ミカンのまなざし,135/106,10000,6/12,,4780,在庫あり (23枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530325f31342e6a7067003136300000660023666666666666.jpg,5220,3000,2220,28.5,14.3
122/106,SR,ピカチュウex,122/106,20000,6/12,,12800,在庫あり (23枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356385f31362e6a7067003136300000660023666666666666.jpg,7200,3000,4200,26.6,13.3
089/064,SAR,アローラナッシーｅｘ,089/064,8500,6/12,,3480,在庫あり (36枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530325f32302e6a7067003136300000660023666666666666.jpg,5020,3000,2020,31.2,15.6
086/064,SR,ルチアのアピール,086/064,15000,6/12,,4480,在庫あり (89枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535637615f392e6a7067003136300000660023666666666666.jpg,10520,3000,7520,100.5,50.3
131/102,SAR,タロ SV7,131/102,22000,6/12,,5980,在庫あり (28枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530325f32362e6a7067003136300000660023666666666666.jpg,16020,3000,13020,145.0,72.5
129/101,SAR,スグリ SV6,129/101,20000,6/12,,4280,在庫あり (27枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356362d352e6a7067003136300000660023666666666666.jpg,15720,3000,12720,174.7,87.4
130/101,SAR,ゼイユ,130/101,55000,6/12,,22800,在庫あり (16枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356362d342e6a7067003136300000660023666666666666.jpg,32200,10000,22200,67.7,
093/066,SAR,スイレンのお世話,093/066,11000,6/12,,5280,在庫あり (20枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f737635615f342e6a7067003136300000660023666666666666.jpg,5720,3000,2720,32.9,16.4
087/066,SR,サザレ,087/066,7000,6/12,,1080,在庫あり (12枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f737635615f31302e6a7067003136300000660023666666666666.jpg,5920,3000,2920,71.6,35.8
088/066,SR,スイレンのお世話,088/066,7500,6/12,,2480,在庫あり (42枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f737635615f392e6a7067003136300000660023666666666666.jpg,5020,3000,2020,36.9,18.4
078/066,AR,イーブイ,078/066,13000,6/15,,6480,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f737635615f31392e6a7067003136300000660023666666666666.jpg,6520,3000,3520,37.1,18.6
097/071,SAR,ベルのまごころ,097/071,16000,6/12,,7480,在庫あり (27枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525356354d5f32362e6a7067003136300000660023666666666666.jpg,8520,3000,5520,52.7,26.3
092/071,SR,ベルのまごころ,092/071,8500,6/15,,1480,在庫あり (76枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525356354d5f32312e6a7067003136300000660023666666666666.jpg,7020,3000,4020,89.7,44.9
097/071,SAR,マツバの確信,097/071,22000,6/15,,8280,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525356354b5f32362e6a7067003136300000660023666666666666.jpg,13720,3000,10720,95.0,47.5
088/071,SR,ゲンガーex,088/071,18000,6/12,,7980,在庫あり (41枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525356354b5f31372e6a7067003136300000660023666666666666.jpg,10020,3000,7020,63.9,32.0
080/071,AR,ゴース,080/071,13000,6/12,,4980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525356354b5f392e6a70670031363000534f4c44204f555400660023666666666666.jpg,8020,3000,5020,62.9,31.5
348/190,SAR,サーナイトex SV4a,348/190,29000,6/12,,17800,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f505341525f3233313133305f372e6a7067003136300000660023666666666666.jpg,11200,3000,8200,39.4,19.7
350/190,SAR,ナンジャモ SV4a,350/190,22000,6/12,,10800,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f505341525f3233313133305f352e6a7067003136300000660023666666666666.jpg,11200,3000,8200,59.4,29.7
352/190,SAR,ネルケ,352/190,8000,6/12,,2380,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f505341525f3233313133305f332e6a7067003136300000660023666666666666.jpg,5620,3000,2620,48.7,24.3
354/190,SAR,ボタン SV4a,354/190,14000,6/12,,3580,在庫あり (19枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f505341525f3233313133305f312e6a7067003136300000660023666666666666.jpg,10420,3000,7420,112.8,56.4
327/190,SSR,ミュウex,327/190,19000,6/12,,4780,在庫あり (54枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f505353525f3233313133305f31312e6a7067003136300000660023666666666666.jpg,14220,3000,11220,144.2,72.1
341/190,AR,ミミッキュ,341/190,11000,6/12,,3480,在庫あり (37枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5041525f3233313133305f312e6a7067003136300000660023666666666666.jpg,7520,3000,4520,69.8,34.9
236/190,S,ピカチュウ,236/190,38000,6/15,,13800,在庫あり (59枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5053315f3233313133305f35352e6a7067003136300000660023666666666666.jpg,24200,3000,21200,126.2,63.1
090/066,SAR,トドロクツキex,090/066,12000,6/12,,6480,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7376346b5f32342e6a7067003136300000660023666666666666.jpg,5520,3000,2520,26.6,13.3
090/062,UR,ガブリアスex,090/062,11000,6/12,,3480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535633615f332e6a70670031363000534f4c44204f555400660023666666666666.jpg,7520,3000,4520,69.8,34.9
085/062,SAR,ガブリアスex,085/062,14000,6/12,,6280,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535633615f382e6a7067003136300000660023666666666666.jpg,7720,3000,4720,50.9,25.4
087/062,SAR,サーフゴーex,087/062,19000,6/12,,5280,在庫あり (21枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535633615f362e6a7067003136300000660023666666666666.jpg,13720,3000,10720,129.5,64.7
089/062,SAR,パラソルおねえさん,089/062,19000,6/12,,9480,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535633615f342e6a7067003136300000660023666666666666.jpg,9520,3000,6520,52.2,26.1
084/062,SR,パラソルおねえさん,084/062,6500,6/12,,1380,在庫あり (24枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535633615f392e6a7067003136300000660023666666666666.jpg,5120,3000,2120,48.4,24.2
208/165,UR,ミュウex,208/165,38000,6/12,,21800,在庫あり (53枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f322e6a7067003136300000660023666666666666.jpg,16200,3000,13200,53.2,26.6
200/165,SAR,フシギバナex,200/165,34000,6/15,,24800,在庫あり (18枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f31302e6a7067003136300000660023666666666666.jpg,9200,3000,6200,22.3,11.2
202/165,SAR,カメックスex,202/165,38000,6/12,,25800,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f382e6a7067003136300000660023666666666666.jpg,12200,3000,9200,31.9,16.0
205/165,SAR,ミュウexSV2a,205/165,88000,6/12,,57800,在庫あり (12枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f352e6a7067003136300000660023666666666666.jpg,30200,10000,20200,29.8,
