No,レア,カード名,card_number,買取金額,更新日,弾,ラッシュ販売価格,ラッシュ在庫状況,画像URL,期待利益
243/193,SAR,マリィのオーロンゲex,243/193,13000,2/16,,6480,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d3261736172382e6a7067003136300000660023666666666666.jpg,6520
244/193,SAR,キチキギスex,244/193,14000,2/16,,3780,在庫あり (59枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d3261736172372e6a7067003136300000660023666666666666.jpg,10220
245/193,SAR,ダイゴのメタグロスex,245/193,11000,2/16,,4980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d3261736172362e6a70670031363000534f4c44204f555400660023666666666666.jpg,6020
246/193,SAR,メガカイリューex,246/193,42000,2/16,,29800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d3261736172352e6a70670031363000534f4c44204f555400660023666666666666.jpg,12200
247/193,SAR,アイリスの闘志,247/193,12000,2/16,,4280,在庫あり (36枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d3261736172342e6a7067003136300000660023666666666666.jpg,7720
248/193,SAR,カナリィ,248/193,28000,2/16,,6980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d3261736172332e6a70670031363000534f4c44204f555400660023666666666666.jpg,21020
094/080,SR,メガリザードンXex,094/080,9000,2/16,,4980,在庫あり (266枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d32524152455f31342e6a7067003136300000660023666666666666.jpg,4020
110/080,SAR,メガリザードンXex,110/080,86000,2/16,,77800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d32524152455f33302e6a70670031363000534f4c44204f555400660023666666666666.jpg,8200
116/080,MUR,メガリザードンXex,116/080,240000,2/16,,138000,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d32524152455f33362e6a7067003136300000660023666666666666.jpg,102000
111/080,SAR,オドリドリex,111/080,12000,2/16,,7280,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d32524152455f33312e6a70670031363000534f4c44204f555400660023666666666666.jpg,4720
115/080,SAR,ヒカリ,115/080,10000,2/16,,4980,在庫あり (81枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d32524152455f33352e6a7067003136300000660023666666666666.jpg,5020
092/063,MUR,メガルカリオex,092/063,72000,2/16,,52800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d31534d314c5f32392e6a70670031363000534f4c44204f555400660023666666666666.jpg,19200
088/063,SAR,メガルカリオex,088/063,12000,2/16,,9980,在庫あり (43枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d31534d314c5f32352e6a7067003136300000660023666666666666.jpg,2020
086/063,SR,リーリエの決心,086/063,18000,2/16,,12800,在庫あり (28枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d31534d314c5f32332e6a7067003136300000660023666666666666.jpg,5200
091/063,SAR,リーリエの決心,091/063,60000,2/16,,44800,在庫あり (42枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530325f31302e6a7067003136300000660023666666666666.jpg,15200
092/063,MUR,メガサーナイトex,092/063,70000,2/16,,57800,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d31534d314c5f35382e6a7067003136300000660023666666666666.jpg,12200
087/063,SAR,メガサーナイトex,087/063,18000,2/16,,18800,在庫あり (17枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d31534d314c5f35332e6a7067003136300000660023666666666666.jpg,-800
088/063,SAR,メガラティアスex,088/063,7500,2/16,,5780,在庫あり (15枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d31534d314c5f35342e6a7067003136300000660023666666666666.jpg,1720
084/063,SR,アセロラのいたずら,084/063,7000,2/16,,2280,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4d31534d314c5f35302e6a7067003136300000660023666666666666.jpg,4720
090/063,SAR,アセロラのいたずら,090/063,19000,2/16,,8980,在庫あり (29枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530325f392e6a7067003136300000660023666666666666.jpg,10020
022/021,,ゴースト,022/021,4600,2/16,,1880,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43524d42475f32322e6a70670031363000534f4c44204f555400660023666666666666.jpg,2720
020/M-P,,ピカチュウ【マクドナルド】,020/M-P,6000,2/16,,3580,在庫あり (243枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f4d2d505f3031312e6a7067003136300000660023666666666666.jpg,2420
174/086,BWR,ゼクロムex,174/086,65000,2/16,,57800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356313142415253525f312e6a70670031363000534f4c44204f555400660023666666666666.jpg,7200
169/086,SAR,ゼクロムex,169/086,24000,2/16,,23800,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530325f382e6a7067003136300000660023666666666666.jpg,200
173/086,SAR,Nの筋書き,173/086,15000,2/16,,7480,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530315f31372e6a7067003136300000660023666666666666.jpg,7520
174/086,BWR,レシラムex,174/086,60000,2/16,,57800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7376313157737273617262777241525f312e6a7067003136300000660023666666666666.jpg,2200
168/086,SAR,レシラムex,168/086,24000,2/16,,25800,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7376313157737273617262777241525f372e6a7067003136300000660023666666666666.jpg,-1800
173/086,SAR,トウコ,173/086,20000,2/16,,8980,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7376313157737273617262777241525f322e6a7067003136300000660023666666666666.jpg,11020
124/098,SAR,ロケット団のファイヤーex,124/098,18000,2/16,,19800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7376313061725f392e6a70670031363000534f4c44204f555400660023666666666666.jpg,-1800
125/098,SAR,ロケット団のミュウツーex,125/098,55000,2/16,,57800,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7376313061725f382e6a7067003136300000660023666666666666.jpg,-2800
126/098,SAR,ロケット団のニドキングex,126/098,12000,2/16,,10800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7376313061725f372e6a7067003136300000660023666666666666.jpg,1200
127/098,SAR,ロケット団のクロバットex,127/098,8000,2/16,,7480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7376313061725f362e6a70670031363000534f4c44204f555400660023666666666666.jpg,520
129/098,SAR,ロケット団のサカキ,129/098,10000,2/16,,3280,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7376313061725f342e6a7067003136300000660023666666666666.jpg,6720
086/063,SAR,ヒビキのホウオウex,086/063,24000,2/16,,29800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535639615f372e6a7067003136300000660023666666666666.jpg,-5800
087/063,SAR,シロナのガブリアスex,087/063,36000,2/16,,44800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535639615f362e6a7067003136300000660023666666666666.jpg,-8800
089/063,SAR,ヒビキの冒険,089/063,12000,2/16,,7480,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535639615f342e6a7067003136300000660023666666666666.jpg,4520
125/100,SAR,ナンジャモのハラバリーex,125/100,16000,2/16,,15800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535639415253525f32352e6a7067003136300000660023666666666666.jpg,200
126/100,SAR,リーリエのピッピex,126/100,34000,2/16,,34800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535639415253525f32362e6a7067003136300000660023666666666666.jpg,-800
127/100,SAR,Nのゾロアークex,127/100,14000,2/16,,9980,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535639415253525f32372e6a7067003136300000660023666666666666.jpg,4020
200/187,SAR,リーフィアex,200/187,14000,2/16,,7980,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356386153415255525f31332e6a7067003136300000660023666666666666.jpg,6020
202/187,SAR,ブースターex,202/187,11000,2/16,,7980,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356386153415255525f31352e6a7067003136300000660023666666666666.jpg,3020
205/187,SAR,シャワーズex,205/187,11000,2/16,,7480,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356386153415255525f31382e6a7067003136300000660023666666666666.jpg,3520
206/187,SAR,グレイシアex,206/187,12000,2/16,,7980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530325f31312e6a70670031363000534f4c44204f555400660023666666666666.jpg,4020
209/187,SAR,サンダースex,209/187,11000,2/16,,6980,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356386153415255525f32322e6a7067003136300000660023666666666666.jpg,4020
211/187,SAR,エーフィex,211/187,12000,2/16,,8480,在庫あり (16枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356386153415255525f32342e6a7067003136300000660023666666666666.jpg,3520
212/187,SAR,ニンフィアex,212/187,22000,2/16,,18800,在庫あり (12枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356386153415255525f32352e6a7067003136300000660023666666666666.jpg,3200
217/187,SAR,ブラッキーex,217/187,60000,2/16,,57800,在庫あり (36枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356386153415255525f33302e6a7067003136300000660023666666666666.jpg,2200
223/187,SAR,イーブイex,223/187,10000,2/16,,5780,在庫あり (17枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530325f31322e6a7067003136300000660023666666666666.jpg,4220
224/187,SAR,イーブイex,224/187,9000,2/16,,5480,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356386153415255525f33372e6a7067003136300000660023666666666666.jpg,3520
236/187,UR,ピカチュウex　SV8a,236/187,16000,2/16,,7480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356386153415255525f34392e6a70670031363000534f4c44204f555400660023666666666666.jpg,8520
131/106,SAR,ミロカロスex,131/106,14000,2/16,,13800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530325f31332e6a70670031363000534f4c44204f555400660023666666666666.jpg,200
132/106,SAR,ピカチュウex SV8,132/106,72000,2/16,,62800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530325f352e6a7067003136300000660023666666666666.jpg,9200
122/106,SR,ピカチュウex SV8,122/106,10000,2/16,,6280,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356385f31362e6a70670031363000534f4c44204f555400660023666666666666.jpg,3720
136/106,UR,ピカチュウex SV8,136/106,25000,2/16,,20800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356385f33302e6a70670031363000534f4c44204f555400660023666666666666.jpg,4200
086/064,SR,ルチアのアピール,086/064,14000,2/16,,4780,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535637615f392e6a70670031363000534f4c44204f555400660023666666666666.jpg,9220
087/064,SAR,ラティアスｅｘ,087/064,22000,2/16,,23800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530325f372e6a70670031363000534f4c44204f555400660023666666666666.jpg,-1800
091/064,SAR,ルチアのアピール,091/064,40000,2/16,,27800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530325f362e6a7067003136300000660023666666666666.jpg,12200
130/102,SAR,テラパゴスex SV7,130/102,7000,2/16,,5480,在庫あり (17枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356375f362e6a7067003136300000660023666666666666.jpg,1520
131/102,SAR,タロ SV7,131/102,12000,2/16,,7280,在庫あり (16枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530325f32362e6a7067003136300000660023666666666666.jpg,4720
091/064,SAR,カシオペア SV6a,091/064,8000,2/16,,2980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535636615f32372e6a70670031363000534f4c44204f555400660023666666666666.jpg,5020
129/101,SAR,スグリ SV6,129/101,6500,2/16,,3580,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356362d352e6a70670031363000534f4c44204f555400660023666666666666.jpg,2920
130/101,SAR,ゼイユ,130/101,65000,2/16,,24800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5356362d342e6a70670031363000534f4c44204f555400660023666666666666.jpg,40200
090/066,SAR,ゲッコウガex,090/066,66000,2/16,,52800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f737635615f372e6a70670031363000534f4c44204f555400660023666666666666.jpg,13200
092/066,SAR,サザレ,092/066,14000,2/16,,11800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f737635615f352e6a70670031363000534f4c44204f555400660023666666666666.jpg,2200
093/066,SAR,スイレンのお世話,093/066,7500,2/16,,4780,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f737635615f342e6a7067003136300000660023666666666666.jpg,2720
097/071,SAR,ベルのまごころ,097/071,25000,2/16,,7480,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525356354d5f32362e6a7067003136300000660023666666666666.jpg,17520
095/071,SAR,タケルライコex SV5K,095/071,7500,2/16,,5980,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530315f352e6a7067003136300000660023666666666666.jpg,1520
097/071,SAR,マツバの確信,097/071,13000,2/16,,6480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525356354b5f32362e6a70670031363000534f4c44204f555400660023666666666666.jpg,6520
341/190,AR,ミミッキュ,341/190,6000,2/16,,2180,在庫あり (11枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f5041525f3233313133305f312e6a7067003136300000660023666666666666.jpg,3820
347/190,SAR,ミュウex SV4a,347/190,70000,2/16,,62800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f505341525f3233313133305f382e6a7067003136300000660023666666666666.jpg,7200
348/190,SAR,サーナイトex SV4a,348/190,20000,2/16,,18800,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f505341525f3233313133305f372e6a7067003136300000660023666666666666.jpg,1200
349/190,SAR,リザードンex（悪テラスタル） SV4a,349/190,43000,2/16,,39800,在庫あり (11枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f505341525f3233313133305f362e6a7067003136300000660023666666666666.jpg,3200
350/190,SAR,ナンジャモ SV4a,350/190,22000,2/16,,13800,在庫あり (15枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f505341525f3233313133305f352e6a7067003136300000660023666666666666.jpg,8200
354/190,SAR,ボタン SV4a,354/190,6000,2/16,,3280,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f505341525f3233313133305f312e6a70670031363000534f4c44204f555400660023666666666666.jpg,2720
090/066,SAR,トドロクツキex,090/066,7000,2/16,,6480,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7376346b5f32342e6a7067003136300000660023666666666666.jpg,520
092/066,SAR,メロコ,092/066,6000,2/16,,2380,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f50526530315f31302e6a70670031363000534f4c44204f555400660023666666666666.jpg,3620
090/066,SAR,チルタリスex,090/066,18000,2/16,,8980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7376346d365f32342e6a70670031363000534f4c44204f555400660023666666666666.jpg,9020
089/066,SAR,テツノブジンex,089/066,5000,2/16,,3780,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7376346d365f32332e6a70670031363000534f4c44204f555400660023666666666666.jpg,1220
092/066,SAR,リップ,092/066,5000,2/16,,1980,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7376346d365f32362e6a7067003136300000660023666666666666.jpg,3020
089/062,SAR,パラソルおねえさん,089/062,22000,2/16,,8980,在庫あり (11枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535633615f342e6a7067003136300000660023666666666666.jpg,13020
139/108,UR,リザードンex（悪テラスタル）,139/108,12000,2/16,,6980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525356335f33312e6a70670031363000534f4c44204f555400660023666666666666.jpg,5020
134/108,SAR,リザードンex（悪テラスタル）SV3a,134/108,48000,2/16,,44800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525356335f32362e6a7067003136300000660023666666666666.jpg,3200
025/165,マスボ,ピカチュウ,025/165,78000,2/16,,52800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303235303631325f3065633235652e6a70670031363000534f4c44204f555400660023666666666666.jpg,25200
094/165,マスボ,ゲンガー,094/165,90000,2/16,,74800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535632615f6d61737465725f5f31342e6a7067003136300000660023666666666666.jpg,15200
173/165,AR,ピカチュウ,173/165,9000,2/16,,4580,在庫あり (122枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f33372e6a7067003136300000660023666666666666.jpg,4420
183/165,AR,ミュウツー,183/165,6500,2/16,,3280,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f32372e6a70670031363000534f4c44204f555400660023666666666666.jpg,3220
200/165,SAR,フシギバナex,200/165,15000,2/16,,14800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f31302e6a7067003136300000660023666666666666.jpg,200
201/165,SAR,リザードンex SV2a,201/165,55000,2/16,,57800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f392e6a70670031363000534f4c44204f555400660023666666666666.jpg,-2800
202/165,SAR,カメックスex,202/165,18000,2/16,,17800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f382e6a7067003136300000660023666666666666.jpg,200
203/165,SAR,フーディンex,203/165,12000,2/16,,8980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f372e6a70670031363000534f4c44204f555400660023666666666666.jpg,3020
204/165,SAR,サンダーex,204/165,20000,2/16,,19800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f362e6a70670031363000534f4c44204f555400660023666666666666.jpg,200
205/165,SAR,ミュウexSV2a,205/165,40000,2/16,,35800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f352e6a7067003136300000660023666666666666.jpg,4200
206/165,SAR,エリカの招待,206/165,20000,2/16,,8780,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535632415f342e6a7067003136300000660023666666666666.jpg,11220
091/071,SR,ナンジャモ,091/071,15000,2/16,,7780,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f505f53563244505f382e6a7067003136300000660023666666666666.jpg,7220
096/071,SAR,ナンジャモ SV2D,096/071,78000,2/16,,59800,在庫あり (7枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f505f53563244505f332e6a7067003136300000660023666666666666.jpg,18200
093/071,SAR,パオジアンex,093/071,6000,2/16,,4480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f505f53563244505f33342e6a70670031363000534f4c44204f555400660023666666666666.jpg,1520
094/071,SAR,イキリンコex,094/071,5000,2/16,,1880,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f505f53563244505f33332e6a7067003136300000660023666666666666.jpg,3120
095/071,SAR,グルーシャ,095/071,13000,2/16,,5480,在庫あり (12枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f43525f505f53563244505f33322e6a7067003136300000660023666666666666.jpg,7520
080/073,AR,コイキング,080/073,25000,2/16,,22800,在庫あり (34枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535631615f41525f362e6a7067003136300000660023666666666666.jpg,2200
096/073,SAR,マスカーニャex,096/073,11000,2/16,,8980,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535631615f5341525f342e6a70670031363000534f4c44204f555400660023666666666666.jpg,2020
097/073,SAR,ラウドボーンex,097/073,6000,2/16,,4480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535631615f5341525f332e6a70670031363000534f4c44204f555400660023666666666666.jpg,1520
098/073,SAR,ウェーニバルex,098/073,6000,2/16,,2780,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535631615f5341525f322e6a7067003136300000660023666666666666.jpg,3220
099/073,SAR,キハダ,099/073,16000,2/16,,11800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f4352535631615f5341525f312e6a70670031363000534f4c44204f555400660023666666666666.jpg,4200
102/078,SAR,ミライドンex,102/078,9000,2/16,,6980,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535631565f5341525f332e6a7067003136300000660023666666666666.jpg,2020
105/078,SAR,ミモザ,105/078,35000,2/16,,18800,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535631565f5341525f302e6a7067003136300000660023666666666666.jpg,16200
101/078,SAR,サーナイトex SV1S,101/078,24000,2/16,,25800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535631535f5341525f342e6a7067003136300000660023666666666666.jpg,-1800
103/078,SAR,コライドンex,103/078,7500,2/16,,6480,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535631535f5341525f322e6a7067003136300000660023666666666666.jpg,1020
105/078,SAR,ボタン SV1S,105/078,6000,2/16,,2180,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535631535f5341525f302e6a7067003136300000660023666666666666.jpg,3820
001/SV-P,,ピカチュウ,001/SV-P,9000,2/16,,3580,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303232313131375f3064656534332e6a70670031363000534f4c44204f555400660023666666666666.jpg,5420
048/SV-P,,ミライドン,048/SV-P,22000,2/16,,19800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f30343853562d502e6a70670031363000534f4c44204f555400660023666666666666.jpg,2200
049/SV-P,,コライドン,049/SV-P,14000,2/16,,11800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f30343953562d502e6a70670031363000534f4c44204f555400660023666666666666.jpg,2200
050/049,,フシギダネ,050/049,15000,2/16,,7480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f353072757368705356473035303034392e6a70670031363000534f4c44204f555400660023666666666666.jpg,7520
051/049,,ヒトカゲ,051/049,18000,2/16,,13800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f353172757368705356473035313034392e6a7067003136300000660023666666666666.jpg,4200
052/049,,ゼニガメ,052/049,14000,2/16,,8480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f353272757368705356473035323034392e6a70670031363000534f4c44204f555400660023666666666666.jpg,5520
